"Ключевые фразы",Топонимы,"Специальные элементы в выдаче","Количество слов в ключевике",Язык,Сложность,Позиция,"Динамика изменения позиции",Частотность,Трафик,Стоимость,"Конкуренция в PPC, %",Результатов,URL
"lebenslauf online bearbeiten",,"pic,also_asks,related_search,snip_breadcrumbs",3,de,38,2,0,110,15,49.468658,56,17800000,https://www.onlinelebenslauf.com/
"lebenslauf vorlage französisch",,"pic,ads_bot,video,related_search,snip_breadcrumbs",3,de,6,2,0,70,10,0.519373,43,1700000,https://www.onlinelebenslauf.com/lebenslauf-franzoesisch/
"european cv standard",,"ai_overview,pic,also_asks,related_search,snip_breadcrumbs,snip_image_thumbnail",3,fr,9,2,0,50,7,0.692587,59,822000000,https://www.onlinelebenslauf.com/europass-cv/
"lebenslauf prüfen lassen",,"also_asks,related_search,snip_breadcrumbs",3,de,2,2,0,50,7,31.813335,75,100,https://www.onlinelebenslauf.com/lebenslauf-prufung/
"online lebenslauf schreiben",,"also_asks,related_search,ai_overview,snip_breadcrumbs",3,de,48,2,0,50,7,1.22529,70,17000000,https://www.onlinelebenslauf.com/
"cv model european",,"related_search,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",3,en,14,2,0,40,5,0.294207,83,90,https://www.onlinelebenslauf.com/europass-cv/
"europass cv model",,"related_search,pic,also_asks,snip_breadcrumbs",3,fr,21,2,0,40,5,0,17,90,https://www.onlinelebenslauf.com/europass-cv/
"lebenslauf bearbeiten online",,"related_search,pic,also_asks,snip_breadcrumbs",3,de,N/A,2,0,40,5,1.765318,33,16200000,https://www.onlinelebenslauf.com/
"cv eu standard",,"related_search,pic,also_asks,snip_breadcrumbs",3,fr,13,2,0,40,5,26.018986,48,116000000,https://www.onlinelebenslauf.com/europass-cv/
"european cv model",,"related_search,also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",3,fr,21,2,0,40,5,0.294207,83,90,https://www.onlinelebenslauf.com/europass-cv/
"european resume",,"video,related_search,pic,also_asks,snip_breadcrumbs",2,en,16,2,0,40,5,0.825533,49,80,https://www.onlinelebenslauf.com/europass-cv/
"lebenslauf online ausfüllen",,"related_search,snip_breadcrumbs",3,de,45,2,0,40,5,40.080448,82,203000,https://www.onlinelebenslauf.com/
"motivationsschreiben bei online bewerbung",,"ai_overview,related_search,also_asks,snip_breadcrumbs",4,de,45,2,0,30,4,0.070240224832323,40,1370000,https://www.onlinelebenslauf.com/motivationsschreiben/
"individueller lebenslauf",,"also_asks,related_search,pic,video,snip_breadcrumbs",2,de,1,2,0,20,2,27.025357,62,70,https://www.onlinelebenslauf.com/lebenslauf-individualisieren/
"curriculum vitae european",,"related_search,pic,also_asks,video,snip_breadcrumbs",3,en,9,2,0,20,2,20.226508,42,28200000,https://www.onlinelebenslauf.com/europass-cv/
"lebenslauf fertig",,"related_search,also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",2,de,58,2,0,10,1,0.868746,84,90,https://www.onlinelebenslauf.com/
"tabellarischer lebenslauf online",,"related_search,pic,snip_breadcrumbs",3,de,45,2,0,10,1,1.052192,89,93900,https://www.onlinelebenslauf.com/
"lebenslauf online pdf",,"also_asks,related_search,snip_breadcrumbs",3,de,36,2,0,10,1,0.503456,69,100,https://www.onlinelebenslauf.com/
"eu online cv",,"pic,also_asks,related_search,ads_bot,snip_breadcrumbs",3,fr,17,2,0,10,1,0,0,27,https://www.onlinelebenslauf.com/europass-cv/
"englisch vorlagen",,"related_search,also_asks,pic,snip_breadcrumbs",2,de,11,3,,6600,940,0,0,90,https://www.onlinelebenslauf.com/lebenslauf-englisch/
"ki bewerbungsschreiben",,"kn_graph_card,related_search,also_asks,ai_overview,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",2,de,N/A,3,0,1300,185,0.387636,61,134,https://www.onlinelebenslauf.com/ki-anschreiben-generator/
"mein lebenslauf",,"related_search,pic,snip_breadcrumbs",2,de,19,3,2,1300,185,1.035763,65,110,https://www.onlinelebenslauf.com/
"cv online",,"also_asks,related_search,snip_breadcrumbs",2,en,45,3,0,1000,142,0.88023,65,100,https://www.onlinelebenslauf.com/
"cv europass format",,"also_asks,related_search,pic,snip_breadcrumbs",3,sv,25,3,1,880,125,0.534435,41,102,https://www.onlinelebenslauf.com/europass-cv/
"cv format eu",,"also_asks,related_search,pic,snip_breadcrumbs",3,sv,10,3,1,880,125,0.533165,38,90,https://www.onlinelebenslauf.com/europass-cv/
"euro cv format",,"also_asks,ai_overview,pic,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,it,17,3,1,880,125,23.403416,41,131,https://www.onlinelebenslauf.com/europass-cv/
"cv model europass",,"also_asks,pic,related_search,video,snip_breadcrumbs",3,it,25,3,0,880,125,0.534435,41,1470000,https://www.onlinelebenslauf.com/europass-cv/
"euro cv template",,"related_search,pic,snip_breadcrumbs",3,it,21,3,0,880,125,0.534435,41,90,https://www.onlinelebenslauf.com/europass-cv/
"editor cv",,"ai_overview,related_search,pic,snip_breadcrumbs",2,en,34,3,0,720,102,0.903349,67,1190000000,https://www.onlinelebenslauf.com/
"curriculum vitae eu format",,"also_asks,pic,related_search,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",4,fr,12,3,0,480,68,0.577598,47,132,https://www.onlinelebenslauf.com/europass-cv/
"eu cv format",,"also_asks,pic,related_search,video,snip_breadcrumbs,snip_image_thumbnail",3,cy,10,3,0,480,68,0.577598,47,81500000,https://www.onlinelebenslauf.com/europass-cv/
"eu curriculum vitae",,"related_search,video,pic,snip_breadcrumbs",3,en,11,3,2,480,68,0.774779,23,123,https://www.onlinelebenslauf.com/europass-cv/
"lebenslauf auf französisch",,"related_search,ai_overview,pic,video,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,de,7,3,0,390,55,22.156363,8,14200000,https://www.onlinelebenslauf.com/lebenslauf-franzoesisch/
"euro cv online",,"related_search,snip_breadcrumbs",3,en,17,3,0,320,45,0.52154354545455,47,129,https://www.onlinelebenslauf.com/europass-cv/
"ki für bewerbungsschreiben",,"related_search,also_asks,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,de,N/A,3,1,320,45,0.494605,63,133,https://www.onlinelebenslauf.com/ki-anschreiben-generator/
"cv europeo online",,"related_search,also_asks,snip_breadcrumbs",3,es,19,3,0,320,45,0.566525,43,48300000,https://www.onlinelebenslauf.com/europass-cv/
"spanisch lebenslauf",,"ai_overview,related_search,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,de,4,3,1,320,45,0.409516,3,109,https://www.onlinelebenslauf.com/lebenslauf-spanisch/
"curriculum vitae union europea",,"related_search,pic,also_asks,snip_breadcrumbs",4,en,11,3,0,320,45,0.654249,34,1180000,https://www.onlinelebenslauf.com/europass-cv/
"lebenslauf check",,"related_search,snip_breadcrumbs",2,de,3,3,0,170,24,0.803306,68,8630000,https://www.onlinelebenslauf.com/lebenslauf-prufung/
"cv editor online",,"related_search,snip_breadcrumbs",3,en,41,3,0,110,15,1.241044,73,231000000,https://www.onlinelebenslauf.com/
"curriculum vitae eu",,"pic,related_search,snip_breadcrumbs",3,en,17,3,0,70,9,0.946117,40,32400000,https://www.onlinelebenslauf.com/europass-cv/
"cv eu",,"related_search,pic,also_asks,snip_breadcrumbs",2,pt,15,3,0,70,9,42.05452,46,1220000000,https://www.onlinelebenslauf.com/europass-cv/
"cv europe",,"ads_bot,video,ai_overview,pic,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,en,8,3,-1,70,9,1.053029,30,130,https://www.onlinelebenslauf.com/europass-cv/
"meinen cv",,"ai_overview,video,related_search,also_asks,snip_breadcrumbs",2,de,18,3,0,70,9,1.4950536953859,61,50900000,https://www.onlinelebenslauf.com/
"curriculum vitae europass online",,"related_search,also_asks,pic,snip_breadcrumbs",4,en,25,3,0,50,7,0.774929,49,754000,https://www.onlinelebenslauf.com/europass-cv/
"cv european standard",,"ai_overview,also_asks,pic,related_search,snip_breadcrumbs",3,sv,16,3,-1,50,7,0.672698,51,127,https://www.onlinelebenslauf.com/europass-cv/
"online lebenslauf xing",,"related_search,also_asks,snip_breadcrumbs",3,de,14,3,0,50,7,55.413668,59,90,https://www.onlinelebenslauf.com/
"curriculum vitae europass editor",,"related_search,also_asks,snip_breadcrumbs",4,en,N/A,3,0,50,7,31.124763,34,40700,https://www.onlinelebenslauf.com/europass-cv/
"standard european cv",,"ai_overview,pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",3,fr,7,3,0,50,7,0.692587,59,291000000,https://www.onlinelebenslauf.com/europass-cv/
"motivationsschreiben online",,"also_asks,related_search,snip_breadcrumbs",2,de,29,3,-2,40,5,0.644604,67,100,https://www.onlinelebenslauf.com/motivationsschreiben/
"curriculum vitae model european",,"related_search,video,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",4,en,7,3,0,40,5,0.294207,83,80,https://www.onlinelebenslauf.com/europass-cv/
"lebenslauf spanisch vorlage",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,de,3,3,2,40,5,0.525,37,90,https://www.onlinelebenslauf.com/lebenslauf-spanisch/
"lebenslauf überprüfen lassen",,"related_search,also_asks,snip_breadcrumbs",3,de,1,3,0,40,5,20.848149,68,100,https://www.onlinelebenslauf.com/lebenslauf-prufung/
"online lebenslauf muster",,"pic,also_asks,related_search,snip_breadcrumbs",3,de,63,3,0,30,4,1.174053,96,387000,https://www.onlinelebenslauf.com/
"model curriculum vitae european",,"video,also_asks,related_search,pic,snip_breadcrumbs",4,en,9,3,0,30,4,0.426944,41,80,https://www.onlinelebenslauf.com/europass-cv/
"europass cv maker online",,"related_search,snip_breadcrumbs",4,en,6,3,0,30,4,1.049714,15,402000,https://www.onlinelebenslauf.com/europass-cv/
"online bewerbung motivationsschreiben",,"video,related_search,also_asks,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,de,39,3,0,30,4,0.070432,40,1750000,https://www.onlinelebenslauf.com/motivationsschreiben/
"motivationsschreiben online bewerbung",,"related_search,pic,also_asks,ai_overview,snip_breadcrumbs",3,de,40,3,0,30,4,0.36817596739033,25,1600000,https://www.onlinelebenslauf.com/motivationsschreiben/
"eu format",,"related_search,also_asks,video,pic,snip_breadcrumbs",2,pt,1,3,2,30,4,1.165606,40,56,https://www.onlinelebenslauf.com/europass-cv/
"motivationsschreiben beginnen",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs",2,de,32,3,0,20,2,0,11,1100000,https://www.onlinelebenslauf.com/motivationsschreiben/
"funktionaler lebenslauf vorlage",,"related_search,pic,also_asks,snip_breadcrumbs",3,de,1,3,0,20,2,0.390562,33,90,https://www.onlinelebenslauf.com/funktionaler-lebenslauf/
"berufliche laufbahn lebenslauf",,"related_search,ai_overview,pic,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,de,16,3,0,20,2,0,10,1650000,https://www.onlinelebenslauf.com/beruflicher-werdegang-im-lebenslauf/
"bewerbung kommunikationsstärke",,"ai_overview,also_asks,related_search,snip_breadcrumbs",2,sv,11,3,0,20,2,0,4,2740000,https://www.onlinelebenslauf.com/fahigkeiten-im-lebenslauf/kommunikationsfaehigkeit-im-lebenslauf/
"online lebenslauf pdf",,"also_asks,related_search,snip_breadcrumbs",3,de,36,3,-1,20,2,1.449692,60,109,https://www.onlinelebenslauf.com/
"cv pass",,"video,pic,also_asks,related_search,snip_breadcrumbs",2,en,12,3,-1,20,2,1.190075,55,158,https://www.onlinelebenslauf.com/europass-cv/
"curriculum vitae pass",,"related_search,also_asks,pic,snip_breadcrumbs",3,en,14,3,0,10,1,0.394402,51,3020000,https://www.onlinelebenslauf.com/europass-cv/
"europass cv modello",,"pic,also_asks,related_search,snip_breadcrumbs",3,en,13,3,0,10,1,32.300319,45,263000,https://www.onlinelebenslauf.com/europass-cv/
"motivationsschreiben für minijob",,"also_asks,ai_overview,pic,related_search,snip_breadcrumbs",3,de,21,3,0,10,1,0,39,1330000,https://www.onlinelebenslauf.com/bewerbung-minijob/
"online bewerbung minijob",,"ai_overview,related_search,also_asks,snip_breadcrumbs",3,de,N/A,3,0,10,1,0.679191,59,37500000,https://www.onlinelebenslauf.com/bewerbung-minijob/
"kommunikative fähigkeiten lebenslauf beispiele",,"ai_overview,related_search,also_asks,snip_breadcrumbs",4,de,9,3,0,10,1,0,2,250000,https://www.onlinelebenslauf.com/fahigkeiten-im-lebenslauf/kommunikationsfaehigkeit-im-lebenslauf/
"lebenslauf kommunikative fähigkeiten",,"related_search,also_asks,snip_breadcrumbs",3,de,9,3,0,10,1,0,7,100,https://www.onlinelebenslauf.com/fahigkeiten-im-lebenslauf/kommunikationsfaehigkeit-im-lebenslauf/
"pass cv",,"also_asks,related_search,video,pic,snip_breadcrumbs",2,en,45,3,0,10,1,0.958949,66,1010000000,https://www.onlinelebenslauf.com/europass-cv/
"keyword cv",,"related_search,also_asks,video,ai_overview,pic,snip_breadcrumbs",2,en,2,3,0,10,1,0,16,211000000,https://www.onlinelebenslauf.com/keywords-im-lebenslauf/
"lebenslauf online ausfüllen kostenlos",,"ai_overview,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",4,de,38,3,0,10,1,0.553059,86,70900,https://www.onlinelebenslauf.com/
"lebenslauf online",,"related_search,snip_breadcrumbs",2,de,38,4,-2,8100,1032,1.517052,68,104,https://www.onlinelebenslauf.com/
"lebenslauf online erstellen",,"related_search,snip_breadcrumbs",3,de,45,4,-1,6600,841,2.173335,75,100,https://www.onlinelebenslauf.com/
"beispiel lebenslauf schüler",,"also_asks,related_search,pic,snip_breadcrumbs",3,de,40,4,0,1300,165,0.242019,23,90,https://www.onlinelebenslauf.com/lebenslaufvorlage-fur-schuler/
"europass cv editor",,"related_search,snip_breadcrumbs",3,en,15,4,1,1300,165,0.570098,31,143,https://www.onlinelebenslauf.com/europass-cv/
"format cv europass",,"pic,ai_overview,also_asks,related_search,snip_breadcrumbs",3,sv,25,4,3,880,112,0.534435,41,108,https://www.onlinelebenslauf.com/europass-cv/
"cv format europass",,"related_search,also_asks,pic,snip_breadcrumbs",3,sv,17,4,0,880,112,0.534435,41,1130000,https://www.onlinelebenslauf.com/europass-cv/
"europass cv format",,"related_search,also_asks,pic,snip_breadcrumbs",3,sv,15,4,1,880,112,23.403416,41,105,https://www.onlinelebenslauf.com/europass-cv/
"europass format cv",,"related_search,also_asks,pic,snip_breadcrumbs",3,fr,25,4,1,880,112,0.534435,41,105,https://www.onlinelebenslauf.com/europass-cv/
"cv erstellen",,"pic,related_search,snip_breadcrumbs",2,de,38,4,5,880,112,141.293062,76,90,https://www.onlinelebenslauf.com/
"englischer cv vorlage",,"pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,de,37,4,0,880,112,0.608156,54,90,https://www.onlinelebenslauf.com/lebenslauf-englisch/
"lebenslauf ausfüllen",,"related_search,pic,also_asks,snip_breadcrumbs",2,de,70,4,0,720,91,22.781005,49,90,https://www.onlinelebenslauf.com/
"bewerbung ki",,"also_asks,ai_overview,related_search,kn_graph_card,snip_breadcrumbs,snip_image_thumbnail",2,de,N/A,4,0,720,91,0.614391,65,134,https://www.onlinelebenslauf.com/ki-anschreiben-generator/
"european cv templates",,"related_search,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",3,en,14,4,0,480,61,0.577598,47,90,https://www.onlinelebenslauf.com/europass-cv/
"template cv european",,"related_search,pic,also_asks,snip_breadcrumbs",3,en,9,4,0,480,61,0.577598,47,90,https://www.onlinelebenslauf.com/europass-cv/
"eu cv template",,"pic,related_search,snip_breadcrumbs",3,fr,10,4,0,480,61,0.654359,49,90,https://www.onlinelebenslauf.com/europass-cv/
"european cv formats",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",3,en,16,4,0,480,61,0.577598,47,157000000,https://www.onlinelebenslauf.com/europass-cv/
"curriculum vitae european format",,"related_search,ai_overview,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",4,ro,23,4,0,480,61,0.654359,49,9470000,https://www.onlinelebenslauf.com/europass-cv/
"european format curriculum vitae",,"related_search,pic,snip_breadcrumbs",4,en,21,4,0,480,61,0.577598,47,5050000,https://www.onlinelebenslauf.com/europass-cv/
"template european cv",,"related_search,pic,snip_breadcrumbs",3,en,16,4,0,480,61,0.577598,47,90,https://www.onlinelebenslauf.com/europass-cv/
"anschreiben online",,"related_search,pic,also_asks,snip_breadcrumbs",2,de,38,4,0,390,49,35.076568,45,36400000,https://www.onlinelebenslauf.com/anschreiben-verfassen/
"lebenslauf editor",,"related_search,snip_breadcrumbs",2,de,33,4,0,390,49,0.931384,56,2500000,https://www.onlinelebenslauf.com/
"europa curriculum vitae",,"pic,also_asks,related_search,snip_breadcrumbs",3,it,26,4,-1,320,40,0.660139,29,90,https://www.onlinelebenslauf.com/europass-cv/
"cv online eu",,"related_search,snip_breadcrumbs",3,pt,13,4,0,320,40,0.566525,43,125,https://www.onlinelebenslauf.com/europass-cv/
"cv european union",,"also_asks,pic,related_search,snip_breadcrumbs",3,en,15,4,1,320,40,0.654249,34,132,https://www.onlinelebenslauf.com/europass-cv/
"curriculum europass online",,"also_asks,related_search,snip_breadcrumbs",3,en,25,4,0,320,40,0.566525,43,1990000,https://www.onlinelebenslauf.com/europass-cv/
kommunikationsstärke,,"ai_overview,related_search,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",1,de,3,4,0,320,40,0.620754,2,1370000,https://www.onlinelebenslauf.com/fahigkeiten-im-lebenslauf/kommunikationsfaehigkeit-im-lebenslauf/
"lebenslauf online schreiben",,"related_search,also_asks,snip_breadcrumbs",3,de,45,4,0,260,33,54.447943,31,12300000,https://www.onlinelebenslauf.com/
"online vorlage lebenslauf",,"related_search,pic,snip_breadcrumbs",3,de,56,4,0,260,33,1.691656,45,14800000,https://www.onlinelebenslauf.com/
"anschreiben generator",,"related_search,snip_breadcrumbs",2,de,29,4,0,260,33,0.474796,62,402000,https://www.onlinelebenslauf.com/ki-anschreiben-generator/
"generator bewerbung",,"related_search,snip_breadcrumbs",2,de,21,4,0,210,26,33.938252,74,9420000,https://www.onlinelebenslauf.com/ki-anschreiben-generator/
"lebenslauf ohne berufserfahrung vorlage",,"pic,related_search,snip_breadcrumbs",4,de,8,4,0,170,21,0.623848,68,90,https://www.onlinelebenslauf.com/lebenslauf-ohne-berufserfahrung/
"lebenslauf vorlage ohne berufserfahrung",,"related_search,also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",4,de,7,4,0,170,21,0.623848,68,90,https://www.onlinelebenslauf.com/lebenslauf-ohne-berufserfahrung/
"format europass",,"also_asks,video,pic,related_search,snip_breadcrumbs",2,fr,13,4,0,170,21,0.469289,26,2220000,https://www.onlinelebenslauf.com/europass-cv/
"lebenslauf europäisch",,"pic,also_asks,related_search,snip_breadcrumbs",2,de,15,4,0,170,21,35.693474,44,90,https://www.onlinelebenslauf.com/europass-cv/
"motivationsschreiben briefkopf",,"pic,related_search,also_asks,snip_breadcrumbs",2,de,35,4,0,140,17,0,1,90,https://www.onlinelebenslauf.com/motivationsschreiben/
"lebenslauf abstand",,"ai_overview,related_search,also_asks,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,de,15,4,0,110,13,0,4,1430000,https://www.onlinelebenslauf.com/lebenslauf-format/
"european format resume",,"related_search,pic,also_asks,ai_overview,snip_breadcrumbs",3,fr,18,4,0,110,13,0.66,60,238000000,https://www.onlinelebenslauf.com/europass-cv/
"europass cv creator",,"related_search,snip_breadcrumbs",3,en,14,4,0,110,13,0.719297,49,273000,https://www.onlinelebenslauf.com/europass-cv/
"curriculum vitae französisch",,"pic,ai_overview,also_asks,related_search,video,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,de,7,4,0,110,13,17.342499,7,226000,https://www.onlinelebenslauf.com/lebenslauf-franzoesisch/
"lebenslauf abstände",,"also_asks,pic,ai_overview,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,de,18,4,0,110,13,0,4,63800,https://www.onlinelebenslauf.com/lebenslauf-format/
"minijob bewerbungsvorlage",,"related_search,pic,also_asks,snip_breadcrumbs",2,de,21,4,0,90,11,0.351837,54,7010000,https://www.onlinelebenslauf.com/bewerbung-minijob/
"europe pass cv",,"video,pic,related_search,snip_breadcrumbs",3,fr,10,4,0,90,11,0.647059,41,101000000,https://www.onlinelebenslauf.com/europass-cv/
"european pass cv",,"related_search,snip_breadcrumbs",3,en,12,4,0,90,11,0.647059,41,104000000,https://www.onlinelebenslauf.com/europass-cv/
"lebenslauf com kostenlos",,"pic,related_search,also_asks,snip_breadcrumbs",3,de,31,4,0,70,8,26.328412,67,90,https://www.onlinelebenslauf.com/
"eu format cv",,"pic,also_asks,related_search,ai_overview,snip_breadcrumbs,snip_image_thumbnail",3,fr,21,4,0,70,8,0.743754,48,127000000,https://www.onlinelebenslauf.com/europass-cv/
"online bewerbung lebenslauf",,"pic,also_asks,related_search,ai_overview,snip_breadcrumbs",3,de,45,4,0,70,8,0.612108,54,18900000,https://www.onlinelebenslauf.com/
"lebenslauf französisch vorlage",,"pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,de,6,4,0,70,8,0.501281,37,90,https://www.onlinelebenslauf.com/lebenslauf-franzoesisch/
"cv eur",,"video,also_asks,related_search,snip_breadcrumbs",2,fr,1,4,0,70,8,0.946117,40,90,https://www.onlinelebenslauf.com/europass-cv/
"chronologischer lebenslauf vorlage",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",3,de,48,4,0,70,8,0.721284,42,90,https://www.onlinelebenslauf.com/chronologischen-lebenslauf/
"motivationsschreiben muster job",,"related_search,also_asks,pic,snip_breadcrumbs",3,de,40,4,0,70,8,0,4,90,https://www.onlinelebenslauf.com/motivationsschreiben/
"lebenslauf online erstellen xing",,"also_asks,related_search,snip_breadcrumbs",4,de,42,4,0,50,6,1.606504,73,90,https://www.onlinelebenslauf.com/
"dein lebenslauf",,"related_search,pic,video,snip_breadcrumbs",2,de,54,4,0,50,6,55.148327,67,18100000,https://www.onlinelebenslauf.com/
