"Ключевые фразы",Топонимы,"Специальные элементы в выдаче","Количество слов в ключевике",Сложность,Позиция,"Динамика изменения позиции",Частотность,Трафик,Стоимость,"Конкуренция в PPC, %",Результатов,URL
"list motywacyjny obsluga klienta",,"also_asks,related_search,snip_breadcrumbs",4,4,1,0,20,2,0,6,310000,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-obsługi-klienta/
"social media marketing manager resume",,"pic,related_search,snip_breadcrumbs,snip_image_thumbnail",5,N/A,1,0,20,2,0,27,275000000,https://resumaker.pl/przykładowe-cv/social-media-marketing-manager/
"cv operator cnc",,"also_asks,related_search,pic,ai_overview,snip_breadcrumbs",3,1,1,0,20,2,0.406147,30,2710000,https://resumaker.pl/przykładowe-cv/operator-maszyn-cnc/
"list motywacyjny na stanowisko administracyjne",,"pic,related_search,snip_breadcrumbs",5,10,1,0,20,2,0.032681,51,90,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-administracyjny/
"list motywacyjny terapeuta zajęciowy",,"related_search,pic,also_asks,snip_breadcrumbs",4,1,1,0,20,2,0,7,1640,https://resumaker.pl/przykładowe-list-motywacyjny/terapeuta-zajeciowy/
"cv erp",,"also_asks,pic,snip_breadcrumbs",2,N/A,1,0,20,2,0,0,90,https://resumaker.pl/przykładowe-cv/erp-developer/
"list motywacyjny kierowca ciężarówki",,"pic,related_search,snip_breadcrumbs,snip_image_thumbnail",4,2,1,0,20,2,0,23,90,https://resumaker.pl/przykładowe-list-motywacyjny/kierowca-ciezarowki/
"list motywacyjny obsługi klienta",,"related_search,also_asks,pic,snip_breadcrumbs",4,4,1,0,20,2,0,12,90,https://resumaker.pl/przykładowe-list-motywacyjny/specjalista-ds-obsługi-klienta/
"marketing and social media resume",,"video,pic,related_search,snip_breadcrumbs",5,N/A,1,0,20,2,0,27,258000000,https://resumaker.pl/przykładowe-cv/social-media-marketing-manager/
"full stack developer cv",,"related_search,pic,snip_breadcrumbs,snip_image_thumbnail",4,N/A,1,0,20,2,0.21,36,90,https://resumaker.pl/przykładowe-cv/full-stack-developer/
"cv social media manager",,"ai_overview,pic,also_asks,snip_breadcrumbs",4,N/A,1,0,20,2,0,27,228000000,https://resumaker.pl/przykładowe-cv/social-media-marketing-manager/
"cv bartender",,"ai_overview,also_asks,related_search,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",2,1,1,0,20,2,0.149675,15,6060000,https://resumaker.pl/przykładowe-cv/doświadczony-barman/
"event manager resume",,"pic,related_search,snip_breadcrumbs",3,N/A,1,0,20,2,0.2,22,90,https://resumaker.pl/przykładowe-cv/event-manager/
"finance cv",,"pic,ai_overview,also_asks,related_search,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,N/A,1,0,20,2,0,13,336000000,https://resumaker.pl/przykładowe-cv/finance-consultant/
"software tester cv",,"pic,related_search,snip_breadcrumbs",3,N/A,1,0,20,2,0,25,15100000,https://resumaker.pl/przykładowe-cv/qa-software-tester/
"cv pracownik administracyjny",,"related_search,pic,ai_overview,also_asks,snip_breadcrumbs,snip_image_thumbnail",3,N/A,1,0,20,2,5.170806,28,1040000,https://resumaker.pl/przykładowe-cv/administracja-kancelaria/
"resume social media",,"related_search,also_asks,pic,ai_overview,snip_breadcrumbs,snip_image_thumbnail",3,N/A,1,0,20,2,0,0,576000000,https://resumaker.pl/przykładowe-cv/social-media-marketing-manager/
"full stack developer resume",,"pic,snip_breadcrumbs",4,2,1,0,20,2,0.21,36,90,https://resumaker.pl/przykładowe-cv/full-stack-developer/
"resume of social media manager",,"ai_overview,pic,related_search,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",5,N/A,1,0,20,2,0,27,276000000,https://resumaker.pl/przykładowe-cv/social-media-marketing-manager/
"list motywacyjny na stanowisko kierownicze",,"related_search,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",5,4,1,0,20,2,0.029083,29,90,https://resumaker.pl/przykładowe-list-motywacyjny/kierownik/
"full stack developer profile",,"video,related_search,ai_overview,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",4,N/A,1,0,20,2,0.21,36,165000000,https://resumaker.pl/przykładowe-cv/full-stack-developer/
"customer care resume",,"also_asks,related_search,pic,video,snip_breadcrumbs",3,N/A,1,0,20,2,0,29,80,https://resumaker.pl/przykładowe-cv/customer-care-representative/
"list motywacyjny wojsko",,"pic,also_asks,related_search,snip_breadcrumbs,snip_image_thumbnail",3,N/A,1,0,20,2,0,8,90,https://resumaker.pl/przykładowe-list-motywacyjny/oficer-wojskowy/
"cv devops",,"pic,also_asks,ai_overview,snip_breadcrumbs",2,N/A,1,0,20,2,9.963862,21,21800000,https://resumaker.pl/przykładowe-cv/inżynier-devops/
"list motywacyjny do restauracji",,"also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",4,3,1,0,20,2,0,17,90,https://resumaker.pl/przykładowe-list-motywacyjny/restauracja/
"fullstack developer resume",,"video,pic,snip_breadcrumbs",3,N/A,1,0,20,2,0.21,36,52,https://resumaker.pl/przykładowe-cv/full-stack-developer/
"cv dyrektor zarządzający",,"pic,ai_overview,also_asks,snip_breadcrumbs,snip_image_thumbnail",3,1,1,0,20,2,0.20823510960697,23,902000,https://resumaker.pl/przykładowe-cv/dyrektor-zarządzający/
"cv e commerce",,"related_search,pic,also_asks,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,1,0,10,1,0.224524,13,215000000,https://resumaker.pl/przykładowe-cv/ecommerce-manager/
"list motywacyjny główny księgowy",,"related_search,snip_breadcrumbs,snip_image_thumbnail",4,8,1,0,10,1,0,9,71,https://resumaker.pl/przykładowe-list-motywacyjny/głowny-ksiegowy/
"cv office manager",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",3,1,1,0,10,1,0,37,90,https://resumaker.pl/przykładowe-cv/administracja---biuro---kierownik/
"cv specjalista ds zakupów",,"also_asks,ai_overview,pic,related_search,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",4,N/A,1,0,10,1,0,0,93400,https://resumaker.pl/przykładowe-cv/specjalista-ds-zakupow/
"list motywacyjny kierownik sklepu",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",4,2,1,0,10,1,0,7,172000,https://resumaker.pl/przykładowe-list-motywacyjny/kierownik-sklepu/
"list motywacyjny sanepid",,"also_asks,related_search,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",3,19,1,0,10,1,0,37,6390,https://resumaker.pl/przykładowe-list-motywacyjny/inspektor-zdrowia/
"cv technika",,"pic,related_search,snip_breadcrumbs,snip_image_thumbnail",2,N/A,1,0,10,1,0,0,90,https://resumaker.pl/przykładowe-cv/technik/
"cv qa tester",,"also_asks,pic,related_search,a_box_fsnippet,snip_breadcrumbs,snip_featured,snip_image_thumbnail",3,1,1,0,10,1,0,4,3270000,https://resumaker.pl/przykładowe-cv/qa-software-tester/
"list motywacyjny do klubu sportowego",,"also_asks,a_box_fsnippet,pic,related_search,snip_breadcrumbs,snip_featured",5,1,1,0,10,1,0,0,77,https://resumaker.pl/przykładowe-list-motywacyjny/trener-sportowy/
"list motywacyjny kierownik budowy",,"also_asks,related_search,pic,snip_breadcrumbs,snip_image_thumbnail",4,1,1,0,10,1,0,43,34700,https://resumaker.pl/przykładowe-list-motywacyjny/kierownik-budowy/
"branch manager opis stanowiska",,"also_asks,a_box_fsnippet,related_search,snip_breadcrumbs,snip_featured",4,1,1,0,10,1,0,0,49,https://resumaker.pl/przykładowe-cv/branch-manager/
"sap cv",,"also_asks,pic,snip_breadcrumbs",2,1,1,0,10,1,0,20,73800000,https://resumaker.pl/przykładowe-cv/konsultant-sap/
"administration cv",,"also_asks,related_search,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",2,N/A,1,0,10,1,0,33,617000000,https://resumaker.pl/przykładowe-cv/administrator-systemu/
"cv trener szkoleniowiec",,"related_search,pic,snip_breadcrumbs",3,1,1,0,10,1,0,4,20100,https://resumaker.pl/przykładowe-cv/trener-regionalny/
"podanie o pracę konserwator",,"also_asks,pic,a_box_fsnippet,related_search,snip_breadcrumbs,snip_featured,snip_image_thumbnail",4,1,1,0,10,1,0,7,90,https://resumaker.pl/przykładowe-list-motywacyjny/konserwator-budynku/
"list motywacyjny radca prawny",,"related_search,also_asks,pic,snip_breadcrumbs",4,2,1,0,10,1,0.034718,29,90,https://resumaker.pl/przykładowe-list-motywacyjny/radca-prawny/
"cv it specialist",,"related_search,pic,snip_breadcrumbs,snip_image_thumbnail",3,1,1,0,10,1,0,6,198,https://resumaker.pl/przykładowe-cv/specjalista-it/
"cv reception",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",2,N/A,1,0,10,1,0.35,20,90,https://resumaker.pl/przykładowe-cv/front-desk-recepcjonista/
"list motywacyjny operator maszyn",,"also_asks,related_search,ai_overview,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",4,N/A,1,0,10,1,0,0,13200,https://resumaker.pl/przykładowe-list-motywacyjny/operator-maszyn/
"list motywacyjny na stanowisko kierownika",,"pic,related_search,also_asks,snip_breadcrumbs,snip_image_thumbnail",5,4,1,0,10,1,0,9,147000,https://resumaker.pl/przykładowe-list-motywacyjny/kierownik/
"list motywacyjny inżynier",,"also_asks,pic,related_search,snip_breadcrumbs",3,1,1,0,10,1,0,21,90,https://resumaker.pl/przykładowe-list-motywacyjny/inzynier-ogolny/
"cv ecommerce",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",2,N/A,1,0,10,1,0.36102394654586,23,848000000,https://resumaker.pl/przykładowe-cv/ecommerce-manager/
"list motywacyjny stylistka paznokci",,"pic,also_asks,related_search,snip_breadcrumbs,snip_image_thumbnail",4,N/A,1,0,10,1,0,0,73,https://resumaker.pl/przykładowe-list-motywacyjny/technik-paznokci/
"resume android developer",,snip_breadcrumbs,3,N/A,1,0,10,1,0,8,20100000,https://resumaker.pl/przykładowe-cv/android-developer/
"cv trenera piłki nożnej wzór",,"related_search,snip_breadcrumbs",5,N/A,1,0,10,1,0.47,30,93,https://resumaker.pl/przykładowe-cv/trener-piłki-nożnej/
"cv receptionist",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",2,N/A,1,0,10,1,0.35,20,90,https://resumaker.pl/przykładowe-cv/front-desk-recepcjonista/
"cv dyrektor finansowy",,"also_asks,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,1,0,10,1,0,17,99000,https://resumaker.pl/przykładowe-cv/cfo/
"administrative cv",,"also_asks,pic,ai_overview,related_search,snip_breadcrumbs,snip_image_thumbnail",2,N/A,1,0,10,1,0,33,468000000,https://resumaker.pl/przykładowe-cv/administrator/
"cv dancer",,"related_search,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",2,N/A,1,0,10,1,0,6,23700000,https://resumaker.pl/przykładowe-cv/tancerz/
"qa tester cv",,"related_search,pic,snip_breadcrumbs,snip_image_thumbnail",3,1,1,0,10,1,0,14,2900000,https://resumaker.pl/przykładowe-cv/qa-software-tester/
"cv elektromechanik",,"pic,also_asks,related_search,snip_breadcrumbs,snip_image_thumbnail",2,N/A,1,0,10,1,0.092011,32,100,https://resumaker.pl/przykładowe-cv/technik-elektromechanik/
"cv social media",,"also_asks,pic,snip_breadcrumbs",3,N/A,1,0,10,1,0,2,90,https://resumaker.pl/przykładowe-cv/social-media-marketing-manager/
"list motywacyjny do szkoły psychoterapii",,"ai_overview,related_search,pic,also_asks,snip_breadcrumbs",5,3,1,0,10,1,0,6,2150,https://resumaker.pl/przykładowe-list-motywacyjny/psychoterapeuta/
"cv dyrektor sprzedaży",,"related_search,also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",3,N/A,1,0,10,1,0.145696,71,90,https://resumaker.pl/przykładowe-cv/dyrektor-ds-sprzedaży/
"list motywacyjny kierownika sklepu",,"pic,also_asks,related_search,snip_breadcrumbs",4,N/A,1,0,10,1,0,0,90,https://resumaker.pl/przykładowe-list-motywacyjny/kierownik-sklepu/
"list motywacyjny na kierowce",,"pic,ai_overview,related_search,snip_breadcrumbs,snip_fqdn_in_aio",4,3,1,0,10,1,0.0694,18,48000,https://resumaker.pl/przykładowe-list-motywacyjny/kierowca-zawodowy/
"full stack developer summary",,"related_search,ai_overview,pic,video,also_asks,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",4,N/A,1,0,10,1,0,14,44600000,https://resumaker.pl/przykładowe-cv/full-stack-developer/
"cv sap",,"pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",2,N/A,1,0,10,1,0,20,89700000,https://resumaker.pl/przykładowe-cv/konsultant-sap/
"cv specjalista ds administracji",,"ai_overview,pic,related_search,snip_breadcrumbs",4,N/A,1,0,10,1,0,5,118000,https://resumaker.pl/przykładowe-cv/specjalista-ds-administracyjnych/
"cv specjalista ds obsługi klienta wzór",,"related_search,also_asks,pic,snip_breadcrumbs,snip_image_thumbnail",6,N/A,1,0,10,1,0.254045,42,74,https://resumaker.pl/przykładowe-cv/specjalista-ds-obsługi-klienta/
"list motywacyjny obsługa klienta wzór",,"also_asks,related_search,a_box_fsnippet,pic,snip_breadcrumbs,snip_featured,snip_image_thumbnail",5,N/A,1,0,10,1,0,4,90,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-obsługi-klienta/
"list motywacyjny na kierownika",,"also_asks,pic,related_search,snip_breadcrumbs,snip_image_thumbnail",4,4,1,0,10,1,0,13,90,https://resumaker.pl/przykładowe-list-motywacyjny/kierownik/
"list motywacyjny do księgowości",,"related_search,also_asks,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",4,7,1,0,10,1,0,14,41000,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-ksiegowosci/
"list motywacyjny kierowca wzór",,"related_search,pic,ai_overview,also_asks,snip_breadcrumbs,snip_image_thumbnail",4,3,1,0,10,1,0.04,25,9940,https://resumaker.pl/przykładowe-list-motywacyjny/kierowca-zawodowy/
"list motywacyjny na kierowcę",,"ai_overview,related_search,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",4,3,1,0,10,1,2.990449,18,61000,https://resumaker.pl/przykładowe-list-motywacyjny/kierowca-zawodowy/
"list motywacyjny spawacz",,"pic,related_search,snip_breadcrumbs",3,1,1,0,10,1,0,16,90,https://resumaker.pl/przykładowe-list-motywacyjny/spawacz-konstrukcji/
"e commerce cv",,"related_search,pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",3,1,1,0,10,1,0.36,23,90,https://resumaker.pl/przykładowe-cv/ecommerce-manager/
"pracownik parkingu",,"a_box_fsnippet,pic,also_asks,snip_breadcrumbs,snip_featured,snip_image_thumbnail",2,N/A,1,0,10,1,0,29,570000,https://resumaker.pl/przykładowe-cv/parkingowy/
"cv taneczne",,"also_asks,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",2,N/A,1,0,10,1,0.194336,52,94300000,https://resumaker.pl/przykładowe-cv/tancerz/
"list motywacyjny specjalista ds sprzedaży",,"pic,snip_breadcrumbs",5,N/A,1,0,10,1,0,8,72,https://resumaker.pl/przykładowe-list-motywacyjny/specjalista-ds-sprzedazy/
"list motywacyjny asystent księgowości wzór",,"related_search,pic,snip_breadcrumbs,snip_image_thumbnail",5,7,1,0,10,1,0,0,76,https://resumaker.pl/przykładowe-list-motywacyjny/asystent-ds-rachunkowosci/
"list motywacyjny do biura rachunkowego",,"pic,related_search,ai_overview,also_asks,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",5,7,1,0,10,1,0.046259,13,3780,https://resumaker.pl/przykładowe-list-motywacyjny/pracownik-ksiegowosci/
"cv koordynator",,"also_asks,ai_overview,pic,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",2,N/A,1,0,10,1,0.308788,71,240000000,https://resumaker.pl/przykładowe-cv/koordynator-zespołu/
"cv na stacje paliw",,"also_asks,pic,ai_overview,snip_breadcrumbs,snip_image_thumbnail,snip_url_in_aio,snip_fqdn_in_aio",4,N/A,1,0,10,1,0.229658,28,242000,https://resumaker.pl/przykładowe-cv/pracownik-stacji-benzynowej/
"cv hr manager",,"pic,also_asks,snip_breadcrumbs,snip_image_thumbnail",3,1,1,0,10,1,0.252568,55,167000000,https://resumaker.pl/przykładowe-cv/human-resources-manager/
"cv asystent księgowości",,"ai_overview,also_asks,pic,snip_breadcrumbs,snip_url_in_aio,snip_fqdn_in_aio",3,N/A,1,0,10,1,0,6,222000,https://resumaker.pl/przykładowe-cv/księgowy---asystent/
"android developer resume",,"pic,related_search,snip_breadcrumbs",3,N/A,1,0,10,1,0,8,75800000,https://resumaker.pl/przykładowe-cv/android-developer/
